ID,Name,URL,Size,GC,rRNA,tRNA,gene,Goodness_Level,Region,Next_url,Final_url
11,Aegilops geniculata,http://www.ncbi.nlm.nih.gov/genome/17682?genome_assembly_id=49390,113.893,37.19,4,31,114,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/554515611?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=554515611&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
12,Aegilops kotschyi,http://www.ncbi.nlm.nih.gov/genome/34282?genome_assembly_id=212132,136.868,38.29,8,33,124,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/667755138?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667755138&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
13,Aegilops longissima,http://www.ncbi.nlm.nih.gov/genome/33969?genome_assembly_id=209352,136.875,38.29,8,33,124,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/667754806?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667754806&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
14,Aegilops searsii,http://www.ncbi.nlm.nih.gov/genome/34280?genome_assembly_id=212130,136.863,38.3,8,33,124,2,Levant,,
15,Aegilops sharonensis,http://www.ncbi.nlm.nih.gov/genome/34233?genome_assembly_id=212003,136.867,38.29,8,33,124,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/667755055?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667755055&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
16,Aegilops speltoides,http://www.ncbi.nlm.nih.gov/genome/22483?genome_assembly_id=47375,113.536,37.25,5,29,111,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/394986472?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=394986472&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
17,Aegilops tauschii,http://www.ncbi.nlm.nih.gov/genome/10972?genome_assembly_id=206882,114.112,37.26,4,30,114,3,,,
18,Aethionema cordifolium,http://www.ncbi.nlm.nih.gov/genome/8216?genome_assembly_id=37983,154.168,36.62,8,37,129,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/134286121?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=134286121&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
19,Aethionema grandiflorum,http://www.ncbi.nlm.nih.gov/genome/8210?genome_assembly_id=37977,154.243,36.81,8,37,129,1,Levant,http://www.ncbi.nlm.nih.gov/nuccore/134286206?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=134286206&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
20,Agathis dammara,http://www.ncbi.nlm.nih.gov/genome/23965?genome_assembly_id=49410,145.625,36.54,5,36,122,1,South/SE Asia,http://www.ncbi.nlm.nih.gov/nuccore/563317593?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=563317593&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
21,Ageratina adenophora,http://www.ncbi.nlm.nih.gov/genome/9893?genome_assembly_id=39202,150.698,37.46,8,37,136,2,C. America and Mexico,,
22,Agrostemma githago,http://www.ncbi.nlm.nih.gov/genome/24141?genome_assembly_id=50811,151.733,36.4,8,37,126,2,Western Europe,,
23,Agrostis stolonifera,http://www.ncbi.nlm.nih.gov/genome/8089?genome_assembly_id=37883,136.584,38.45,8,40,133,3,,,
24,Allium cepa,http://www.ncbi.nlm.nih.gov/genome/10900?genome_assembly_id=210847,153.538,36.81,8,38,135,3,,,
25,Allosyncarpia ternata,http://www.ncbi.nlm.nih.gov/genome/22873?genome_assembly_id=47487,159.593,36.82,8,37,135,0,Australia,http://www.ncbi.nlm.nih.gov/nuccore/442569314?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=442569314&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
26,Alloteropsis angusta,http://www.ncbi.nlm.nih.gov/genome/40447?genome_assembly_id=249622,140.709,38.43,7,32,123,1,Subsaharan Africa,http://www.ncbi.nlm.nih.gov/nuccore/924252100?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=924252100&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
27,Alloteropsis cimicina,http://www.ncbi.nlm.nih.gov/genome/40446?genome_assembly_id=249621,139.317,38.6,7,32,122,3,,,
28,Alloteropsis semialata,http://www.ncbi.nlm.nih.gov/genome/40116?genome_assembly_id=248142,138.209,38.49,7,32,122,3,,,
29,Alsophila spinulosa,http://www.ncbi.nlm.nih.gov/genome/9061?genome_assembly_id=38609,156.661,40.43,8,33,133,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/218454801?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=218454801&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
30,Amborella trichopoda,http://www.ncbi.nlm.nih.gov/genome/12031?genome_assembly_id=225336,162.686,38.34,8,36,129,0,Australia,http://www.ncbi.nlm.nih.gov/nuccore/586651659?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=586651659&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
31,Amentotaxus argotaenia,http://www.ncbi.nlm.nih.gov/genome/39092?genome_assembly_id=241336,136.657,35.85,4,33,120,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/873819749?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=873819749&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
32,Amentotaxus formosana,http://www.ncbi.nlm.nih.gov/genome/34235?genome_assembly_id=212005,136.43,35.83,4,33,121,0,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/685836953?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=685836953&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
33,Ananas comosus,http://www.ncbi.nlm.nih.gov/genome/13945?genome_assembly_id=218353,159.636,37.37,8,38,132,2,S. America,,
34,Andrographis paniculata,http://www.ncbi.nlm.nih.gov/genome/16660?genome_assembly_id=46241,150.249,38.29,8,37,132,1,South/SE Asia,http://www.ncbi.nlm.nih.gov/nuccore/672094906?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=672094906&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
35,Aneura mirabilis,http://www.ncbi.nlm.nih.gov/genome/8454?genome_assembly_id=38167,108.007,40.62,8,37,128,4,,,
36,Angiopteris evecta,http://www.ncbi.nlm.nih.gov/genome/8170?genome_assembly_id=37948,153.901,35.48,8,45,141,1,Australia,http://www.ncbi.nlm.nih.gov/nuccore/110628278?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=110628278&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
37,Angophora costata,http://www.ncbi.nlm.nih.gov/genome/22863?genome_assembly_id=47477,160.326,36.76,8,37,135,1,Australia,http://www.ncbi.nlm.nih.gov/nuccore/442569228?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=442569228&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
38,Angophora floribunda,http://www.ncbi.nlm.nih.gov/genome/22867?genome_assembly_id=47481,160.245,36.76,8,37,135,1,Australia,http://www.ncbi.nlm.nih.gov/nuccore/442569142?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=442569142&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
39,Anomochloa marantoidea,http://www.ncbi.nlm.nih.gov/genome/9438?genome_assembly_id=38889,138.412,38.66,8,37,145,0,S. America,http://www.ncbi.nlm.nih.gov/nuccore/251765230?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=251765230&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
40,Anthoceros angustus,http://www.ncbi.nlm.nih.gov/genome/7357?genome_assembly_id=37473,161.162,32.9,8,37,137,6,,,
41,Anthriscus cerefolium,http://www.ncbi.nlm.nih.gov/genome/9728?genome_assembly_id=39083,154.719,37.42,8,37,132,6,,,
42,Apios americana,??,,,,,,4,N. America,,
43,Arabidopsis thaliana,http://www.ncbi.nlm.nih.gov/genome/4?genome_assembly_id=22492,154.478,36.29,7,37,129,3,,,
44,Arabis alpina,http://www.ncbi.nlm.nih.gov/genome/17813?genome_assembly_id=248256,152.866,36.45,8,36,130,3,,,
45,Arabis hirsuta JO23,http://www.ncbi.nlm.nih.gov/genome/8212?genome_assembly_id=37979,153.689,36.4,8,37,129,1,Western Europe,http://www.ncbi.nlm.nih.gov/nuccore/134286377?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=134286377&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
46,Arachis hypogaea,??,,,,,,4,,,
47,Aralia undulata,http://www.ncbi.nlm.nih.gov/genome/23333?genome_assembly_id=49150,156.333,38.1,8,38,135,2,East Asia,,
48,Ardisia polysticta,http://www.ncbi.nlm.nih.gov/genome/17558?genome_assembly_id=46776,156.506,37.07,8,37,134,4,,,
49,Artemisia frigida,http://www.ncbi.nlm.nih.gov/genome/17009?genome_assembly_id=46431,151.076,37.48,8,37,134,3,,,
50,Artemisia montana,http://www.ncbi.nlm.nih.gov/genome/35472?genome_assembly_id=214686,151.13,37.48,8,37,133,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/586598341?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=586598341&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
51,Arundinaria appalachiana,http://www.ncbi.nlm.nih.gov/genome/31736?genome_assembly_id=55845,139.547,38.91,8,41,137,1,N. America,http://www.ncbi.nlm.nih.gov/nuccore/511262204?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=511262204&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
52,Arundinaria fargesii,http://www.ncbi.nlm.nih.gov/genome/33767?genome_assembly_id=206628,139.696,38.88,8,38,129,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/407030061?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=407030061&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
53,Arundinaria gigantea,http://www.ncbi.nlm.nih.gov/genome/16751?genome_assembly_id=46284,138.935,38.93,8,40,135,1,N. America,http://www.ncbi.nlm.nih.gov/nuccore/441480229?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=441480229&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
54,Arundinaria tecta,http://www.ncbi.nlm.nih.gov/genome/31735?genome_assembly_id=55844,139.499,38.92,8,41,136,1,N. America,http://www.ncbi.nlm.nih.gov/nuccore/511262288?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=511262288&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
55,Asclepias nivea,http://www.ncbi.nlm.nih.gov/genome/22862?genome_assembly_id=47476,161.592,37.92,8,37,131,1,C. America and Mexico,http://www.ncbi.nlm.nih.gov/nuccore/544187093?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=544187093&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
56,Asclepias syriaca,http://www.ncbi.nlm.nih.gov/genome/11317?genome_assembly_id=248246,158.719,37.83,8,37,131,1,N. America,http://www.ncbi.nlm.nih.gov/nuccore/556562321?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=556562321&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
57,Aster spathulifolius,http://www.ncbi.nlm.nih.gov/genome/38791?genome_assembly_id=235321,149.51,37.71,8,37,132,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/549533501?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=549533501&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
58,Astragalus nakaianus,http://www.ncbi.nlm.nih.gov/genome/41062?genome_assembly_id=256293,123.633,34.07,4,30,110,5,,,
59,Atropa belladonna Ab5p(kan),http://www.ncbi.nlm.nih.gov/genome/12188?genome_assembly_id=40528,156.687,37.56,8,37,130,3,,,
60,Azadirachta indica,http://www.ncbi.nlm.nih.gov/genome/30018?genome_assembly_id=206966,160.737,37.49,8,37,131,1,South/SE Asia,http://www.ncbi.nlm.nih.gov/nuccore/586947514?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=586947514&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
61,Bambusa emeiensis,http://www.ncbi.nlm.nih.gov/genome/10442?genome_assembly_id=39507,139.493,38.91,8,39,131,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/309321933?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=309321933&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
62,Bambusa multiplex,http://www.ncbi.nlm.nih.gov/genome/33690?genome_assembly_id=206551,139.394,38.91,8,39,132,1,South/SE Asia,http://www.ncbi.nlm.nih.gov/nuccore/668349596?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=668349596&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
63,Bambusa oldhamii,http://www.ncbi.nlm.nih.gov/genome/16005?genome_assembly_id=45803,139.35,38.92,8,37,127,3,,,
64,Barbarea verna,http://www.ncbi.nlm.nih.gov/genome/8207?genome_assembly_id=37974,154.532,36.43,8,37,130,1,Western Europe,http://www.ncbi.nlm.nih.gov/nuccore/134286464?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=134286464&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
65,Berberis bealei,http://www.ncbi.nlm.nih.gov/genome/22984?genome_assembly_id=47592,164.792,38.14,8,37,149,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/536462659?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=536462659&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
66,Boea hygrometrica,http://www.ncbi.nlm.nih.gov/genome/12223?genome_assembly_id=40552,153.493,37.59,8,36,145,1,Australia,http://www.ncbi.nlm.nih.gov/nuccore/340549387?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=340549387&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
67,Bowenia serrulata,http://www.ncbi.nlm.nih.gov/genome/35999?genome_assembly_id=218414,165.695,39.86,8,38,134,0,Australia,http://www.ncbi.nlm.nih.gov/nuccore/403071408?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=403071408&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
68,Brachypodium distachyon,http://www.ncbi.nlm.nih.gov/genome/698?genome_assembly_id=30558,135.199,38.57,8,38,133,3,,,
69,Brassaiopsis hainla,http://www.ncbi.nlm.nih.gov/genome/23209?genome_assembly_id=48495,156.459,37.92,8,37,134,1,South/SE Asia,http://www.ncbi.nlm.nih.gov/nuccore/458599171?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=458599171&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
70,Brassica juncea,http://www.ncbi.nlm.nih.gov/genome/10987?genome_assembly_id=256310,153.483,36.36,8,38,131,3,,,
71,Brassica napus ZY036,http://www.ncbi.nlm.nih.gov/genome/203?genome_assembly_id=59327,152.86,36.32,8,37,132,7,,,
72,Brassica rapa,http://www.ncbi.nlm.nih.gov/genome/229?genome_assembly_id=28587,153.482,36.36,-,-,-,2,East Asia,,
73,Bupleurum falcatum,http://www.ncbi.nlm.nih.gov/genome/40141?genome_assembly_id=248167,155.989,37.66,8,37,129,3,,,
74,Buxus microphylla,http://www.ncbi.nlm.nih.gov/genome/8262?genome_assembly_id=38020,159.01,38.07,8,45,139,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/146762264?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=146762264&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
75,Calanthe triplicata,http://www.ncbi.nlm.nih.gov/genome/33586?genome_assembly_id=206447,158.759,36.74,8,38,136,3,,,
76,Calocedrus formosana,http://www.ncbi.nlm.nih.gov/genome/23964?genome_assembly_id=49409,127.311,34.83,4,31,117,0,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/563317757?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=563317757&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
77,Calycanthus floridus var. glaucus,http://www.ncbi.nlm.nih.gov/genome/7361?genome_assembly_id=37476,153.337,39.27,8,38,132,1,N. America,http://www.ncbi.nlm.nih.gov/nuccore/32399358?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=32399358&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
78,Camellia crapnelliana,http://www.ncbi.nlm.nih.gov/genome/33574?genome_assembly_id=206435,156.997,37.3,8,39,136,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/573014964?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=573014964&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
79,Camellia cuspidata,http://www.ncbi.nlm.nih.gov/genome/22981?genome_assembly_id=47589,156.618,37.31,8,40,137,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/537362399?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=537362399&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
80,Camellia danzaiensis,http://www.ncbi.nlm.nih.gov/genome/22988?genome_assembly_id=47593,156.576,37.34,8,40,135,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/537362489?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=537362489&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
81,Camellia grandibracteata,http://www.ncbi.nlm.nih.gov/genome/33680?genome_assembly_id=206541,157.127,37.29,8,37,135,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/667670054?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667670054&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
82,Camellia impressinervis,http://www.ncbi.nlm.nih.gov/genome/22983?genome_assembly_id=47591,156.892,37.33,8,40,137,2,East Asia,,
83,Camellia leptophylla,http://www.ncbi.nlm.nih.gov/genome/33678?genome_assembly_id=206539,157.102,37.3,8,37,135,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/667670142?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667670142&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
84,Camellia petelotii,http://www.ncbi.nlm.nih.gov/genome/33710?genome_assembly_id=206571,157.121,37.29,8,37,135,2,East Asia,,
85,Camellia pitardii,http://www.ncbi.nlm.nih.gov/genome/22980?genome_assembly_id=47588,156.585,37.34,8,40,137,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/537362757?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=537362757&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
86,Camellia pubicosta,http://www.ncbi.nlm.nih.gov/genome/33712?genome_assembly_id=206573,157.076,37.3,8,37,135,2,East Asia,,
87,Camellia reticulata,http://www.ncbi.nlm.nih.gov/genome/33692?genome_assembly_id=206553,156.971,37.31,8,37,135,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/667670406?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=667670406&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
88,Camellia sinensis,http://www.ncbi.nlm.nih.gov/genome/11029?genome_assembly_id=39933,157.103,37.31,8,37,134,3,,,
89,Camellia taliensis,http://www.ncbi.nlm.nih.gov/genome/22545?genome_assembly_id=47428,156.974,37.32,8,40,137,1,East Asia,http://www.ncbi.nlm.nih.gov/nuccore/537362937?report=fasta,http://www.ncbi.nlm.nih.gov/sviewer/viewer.fcgi?val=537362937&db=nuccore&dopt=fasta&extrafeat=0&fmt_mask=0&maxplex=1&sendto=t&withmarkup=on&log$=seqview&maxdownloadsize=1000000
